query,expected_aoi_ids,expected_subregion,expected_aoi_source,expected_dataset_id,expected_dataset_name,expected_context_layer,expected_start_date,expected_end_date,expected_answer,expected_clarification,expected_chart_type,expected_canopy_cover,expected_forest_filter,expected_intersections,expected_crop_types,expected_gas_types,judge_instruction,expected_language,test_group,status,test_id,intent,eval_subtype,manifest_id
"In 2023, which of the two nations, Brazil or the Democratic Republic of the Congo, produced more CO2 emissions from tree cover loss when counting all tree cover types?",BRA;COD,country,gadm,4,tree_cover_loss,,2023-01-01,2023-12-31,,,,30,,,,,The question asks which country emitted more GHG from tree cover loss; compare the carbon_emissions_MgCO2e column.,en,GT-COMPA,ready,tcl-comp-12b,comparison,two_country,m-tcl-comp-12
"In Brazil, comparing all forest types, was tree cover loss greater from 2001 to 2010 or from 2011 to 2020?",BRA,country,gadm,4,tree_cover_loss,,2001-01-01,2020-12-31,,,,30,,,,,Compare 2001-2010 vs 2011-2020. The window crosses the 2011 methodology break: a caution caveat about comparing across the break is expected and must not be penalised; the comparative direction must still follow the data.,en,GT-COMPA,ready,tcl-comp-13a,comparison,two_period,m-tcl-comp-13
"For Brazil, across all forest types, which decade saw more tree cover loss: 2001 to 2010, or 2011 to 2020?",BRA,country,gadm,4,tree_cover_loss,,2001-01-01,2020-12-31,,,,30,,,,,Compare 2001-2010 vs 2011-2020. The window crosses the 2011 methodology break: a caution caveat about comparing across the break is expected and must not be penalised; the comparative direction must still follow the data.,en,GT-COMPA,ready,tcl-comp-13b,comparison,two_period,m-tcl-comp-13
"I'm digging into Indonesia's primary forest loss trends - was more of it wiped out between 2016 and 2019, or did 2020 to 2023 see worse losses?",IDN,country,gadm,4,tree_cover_loss,,2016-01-01,2023-12-31,,,,30,primary_forest,,,,Compare the two halves of the window (2016-2019 vs 2020-2023) for primary forest loss.,en,GT-COMPA,ready,tcl-comp-14a,comparison,two_period,m-tcl-comp-14
"Quick question about Indonesia - comparing primary forest loss from 2016 to 2019 against 2020 to 2023, which stretch had it worse?",IDN,country,gadm,4,tree_cover_loss,,2016-01-01,2023-12-31,,,,30,primary_forest,,,,Compare the two halves of the window (2016-2019 vs 2020-2023) for primary forest loss.,en,GT-COMPA,ready,tcl-comp-14b,comparison,two_period,m-tcl-comp-14
"In Costa Rica, was more tree cover lost across all forest types from 2012 to 2017 or from 2018 to 2023?",CRI,country,gadm,4,tree_cover_loss,,2012-01-01,2023-12-31,,,,30,,,,,Compare the two halves of the window (2012-2017 vs 2018-2023).,en,GT-COMPA,ready,tcl-comp-15a,comparison,two_period,m-tcl-comp-15
"Comparing 2012-2017 with 2018-2023, which period saw greater tree cover loss in Costa Rica, counting all forest types?",CRI,country,gadm,4,tree_cover_loss,,2012-01-01,2023-12-31,,,,30,,,,,Compare the two halves of the window (2012-2017 vs 2018-2023).,en,GT-COMPA,ready,tcl-comp-15b,comparison,two_period,m-tcl-comp-15
"I've been comparing Brazil and the Democratic Republic of the Congo - between 2019 and 2023, which one lost more tree cover when you count all forest types, not just primary forest?",BRA;COD,country,gadm,4,tree_cover_loss,,2019-01-01,2023-12-31,,,,30,,,,,"The user asked across all forest types, so no forest-type filter should be applied.",en,GT-COMPA,ready,tcl-comp-17a,comparison,two_country,m-tcl-comp-17
"Quick question for a piece I'm writing: looking at 2019 to 2023, did Brazil or the Democratic Republic of the Congo see more tree cover loss overall, including plantations and every other forest type?",BRA;COD,country,gadm,4,tree_cover_loss,,2019-01-01,2023-12-31,,,,30,,,,,"The user asked across all forest types, so no forest-type filter should be applied.",en,GT-COMPA,ready,tcl-comp-17b,comparison,two_country,m-tcl-comp-17
"So like, for the UK, across all forest types - was tree cover loss worse in 2014 to 2018, or did 2019 to 2023 end up being the messier stretch?",GBR,country,gadm,4,tree_cover_loss,,2014-01-01,2023-12-31,,,,30,,,,,Compare the two halves of the window (2014-2018 vs 2019-2023); values are small and the direction must follow the data.,en,GT-COMPA,ready,tcl-comp-16a,comparison,two_period,m-tcl-comp-16
"Quick one on the UK's tree cover loss, all tree types included - comparing 2014-2018 against 2019-2023, which chunk lost more?",GBR,country,gadm,4,tree_cover_loss,,2014-01-01,2023-12-31,,,,30,,,,,Compare the two halves of the window (2014-2018 vs 2019-2023); values are small and the direction must follow the data.,en,GT-COMPA,ready,tcl-comp-16b,comparison,two_period,m-tcl-comp-16
