query,expected_aoi_ids,expected_subregion,expected_aoi_source,expected_dataset_id,expected_dataset_name,expected_context_layer,expected_start_date,expected_end_date,expected_answer,expected_clarification,expected_chart_type,expected_canopy_cover,expected_forest_filter,expected_intersections,expected_crop_types,expected_gas_types,judge_instruction,expected_language,test_group,status,test_id,intent,eval_subtype,manifest_id
"Across all forest types, how many hectares of tree cover did Indonesia lose in total between 2015 and 2020?",IDN,country,gadm,4,tree_cover_loss,,2015-01-01,2020-12-31,,,,30,,,,,"The user asked for all forest types, so no forest-type filter should be applied.",en,GT-QUANT,ready,tcl-quant-03b,quantification,multi_year_total,m-tcl-quant-03
What was the total area of primary forest loss recorded in the Democratic Republic of the Congo during 2023?,COD,country,gadm,4,tree_cover_loss,,2023-01-01,2023-12-31,,,,30,primary_forest,,,,,en,GT-QUANT,ready,tcl-quant-07b,quantification,primary_forest,m-tcl-quant-07
"How many hectares of tree cover loss, across all forest types, occurred in Indonesia in 2022 at a 10% canopy density threshold?",IDN,country,gadm,4,tree_cover_loss,,2022-01-01,2022-12-31,,,,10,,,,,,en,GT-QUANT,ready,tcl-quant-12a,quantification,canopy_threshold,m-tcl-quant-12
"Using a 10% canopy density threshold, what was the total tree cover loss in Indonesia in 2022, including plantations?",IDN,country,gadm,4,tree_cover_loss,,2022-01-01,2022-12-31,,,,10,,,,,,en,GT-QUANT,ready,tcl-quant-12b,quantification,canopy_threshold,m-tcl-quant-12
"I'm digging into Brazil's 2023 numbers - at a 15% canopy density threshold, how many hectares of tree cover, across all forest types, did it lose that year?",BRA,country,gadm,4,tree_cover_loss,,2023-01-01,2023-12-31,,,,15,,,,,,en,GT-QUANT,ready,tcl-quant-13a,quantification,canopy_threshold,m-tcl-quant-13
"Quick question about Brazil: using a 15% canopy threshold and counting all tree cover (not just any particular forest type), how much did it lose in 2023?",BRA,country,gadm,4,tree_cover_loss,,2023-01-01,2023-12-31,,,,15,,,,,,en,GT-QUANT,ready,tcl-quant-13b,quantification,canopy_threshold,m-tcl-quant-13
"How many hectares of tree cover loss, across all forest types, occurred in the Democratic Republic of the Congo in 2021 at a 20% canopy density threshold?",COD,country,gadm,4,tree_cover_loss,,2021-01-01,2021-12-31,,,,20,,,,,,en,GT-QUANT,ready,tcl-quant-14a,quantification,canopy_threshold,m-tcl-quant-14
"Using a 20% canopy density threshold, what was the total tree cover loss area in the Democratic Republic of the Congo for 2021, including plantations and all other forest types?",COD,country,gadm,4,tree_cover_loss,,2021-01-01,2021-12-31,,,,20,,,,,,en,GT-QUANT,ready,tcl-quant-14b,quantification,canopy_threshold,m-tcl-quant-14
"How many hectares of tree cover loss occurred in Costa Rica across all forest types from 2001 to 2023, using a 25% canopy density threshold?",CRI,country,gadm,4,tree_cover_loss,,2001-01-01,2023-12-31,,,,25,,,,,The window crosses the 2011 methodology break; a caution caveat is acceptable.,en,GT-QUANT,ready,tcl-quant-15a,quantification,canopy_threshold,m-tcl-quant-15
"Using a 25% canopy cover threshold, what was the total tree cover loss in Costa Rica, including plantations, between 2001 and 2023?",CRI,country,gadm,4,tree_cover_loss,,2001-01-01,2023-12-31,,,,25,,,,,The window crosses the 2011 methodology break; a caution caveat is acceptable.,en,GT-QUANT,ready,tcl-quant-15b,quantification,canopy_threshold,m-tcl-quant-15
"I'm digging into Costa Rica's forests right now - do you know how many hectares of tree cover, across all forest types, were lost there in 2021?",CRI,country,gadm,4,tree_cover_loss,,2021-01-01,2021-12-31,,,,30,,,,,"The user asked for all tree cover, so no forest-type filter should be applied.",en,GT-QUANT,ready,tcl-quant-16a,quantification,single_year,m-tcl-quant-16
"So I've been meaning to ask - for Costa Rica in 2021, what's the total tree cover loss if we count all tree types, plantations included?",CRI,country,gadm,4,tree_cover_loss,,2021-01-01,2021-12-31,,,,30,,,,,"The user asked for all tree cover, so no forest-type filter should be applied.",en,GT-QUANT,ready,tcl-quant-16b,quantification,single_year,m-tcl-quant-16
"so like, for the UK in 2023, how many hectares of tree cover did it lose overall - counting all forest types, not just some?",GBR,country,gadm,4,tree_cover_loss,,2023-01-01,2023-12-31,,,,30,,,,,"The user asked for all tree cover, so no forest-type filter should be applied. Values are small; honest rounding in sensible units passes.",en,GT-QUANT,ready,tcl-quant-17a,quantification,single_year,m-tcl-quant-17
"quick q - across all tree types (plantations n all), roughly how much tree cover went missing in the United Kingdom during 2023?",GBR,country,gadm,4,tree_cover_loss,,2023-01-01,2023-12-31,,,,30,,,,,"The user asked for all tree cover, so no forest-type filter should be applied. Values are small; honest rounding in sensible units passes.",en,GT-QUANT,ready,tcl-quant-17b,quantification,single_year,m-tcl-quant-17
What were the greenhouse gas emissions from tree cover loss across all forest types in Brazil in 2023?,BRA,country,gadm,4,tree_cover_loss,,2023-01-01,2023-12-31,,,,30,,,,,"The question asks for GHG emissions from tree cover loss; the headline figure is the carbon_emissions_MgCO2e column, in MgCO2e or honest conversions.",en,GT-QUANT,ready,tcl-quant-18a,quantification,emissions,m-tcl-quant-18
"How much CO2e was emitted from tree cover loss in Brazil during 2023, counting all tree types including plantations?",BRA,country,gadm,4,tree_cover_loss,,2023-01-01,2023-12-31,,,,30,,,,,"The question asks for GHG emissions from tree cover loss; the headline figure is the carbon_emissions_MgCO2e column, in MgCO2e or honest conversions.",en,GT-QUANT,ready,tcl-quant-18b,quantification,emissions,m-tcl-quant-18
I'm digging into Indonesia's climate footprint - can you tell me the greenhouse gas emissions from tree cover loss across all forest types there between 2015 and 2020?,IDN,country,gadm,4,tree_cover_loss,,2015-01-01,2020-12-31,,,,30,,,,,"The question asks for GHG emissions from tree cover loss; the headline figure is the carbon_emissions_MgCO2e column, in MgCO2e or honest conversions.",en,GT-QUANT,ready,tcl-quant-19a,quantification,emissions,m-tcl-quant-19
"Trying to get a handle on Indonesia's numbers here - what were the carbon emissions tied to tree cover loss, including plantations, from 2015 to 2020?",IDN,country,gadm,4,tree_cover_loss,,2015-01-01,2020-12-31,,,,30,,,,,"The question asks for GHG emissions from tree cover loss; the headline figure is the carbon_emissions_MgCO2e column, in MgCO2e or honest conversions.",en,GT-QUANT,ready,tcl-quant-19b,quantification,emissions,m-tcl-quant-19
"So um, Indonesia's primary forest - like, how much of that got wiped out in 2022? Just need a rough hectare figure.",IDN,country,gadm,4,tree_cover_loss,,2022-01-01,2022-12-31,,,,30,primary_forest,,,,,en,GT-QUANT,ready,tcl-quant-20a,quantification,primary_forest,m-tcl-quant-20
"Quick question, kinda curious - for 2022 specifically, how many hectares of primary forest did Indonesia lose? Not counting other tree types, just the primary forest bit.",IDN,country,gadm,4,tree_cover_loss,,2022-01-01,2022-12-31,,,,30,primary_forest,,,,,en,GT-QUANT,ready,tcl-quant-20b,quantification,primary_forest,m-tcl-quant-20
