test_id,status,query,Data,Analysis type,Analysis description,AOI type,expected_aoi_ids,expected_subregion,expected_aoi_source,expected_dataset_id,expected_dataset_name,expected_context_layer,expected_start_date,expected_end_date,expected_class_1,expected_class_2,expected_threshold,value_1,value_2,expected_answer,expected_guardrail_answer,expected_clarification,test_group,priority
1-011,,How much wetland was there in the Arawe KBA in Papua New Guinea in 2024? ,Global land cover,temporal,Refers to specific years or date ranges,kba,,,kba,1,Global land cover,,2024,2024,wetland,,,,"16,359 hectares","16,359 hectares",,,,
1-012,WARNING,"How much land changed to short vegetation in protected areas in Park County, Colorado between 2015 and 2024?",Global land cover,comparative parent child,Compares sub-areas within a larger one,wdpa,,state-province,gadm,1,Global land cover,,2015,2024,all,short vegetation,,,,,,,,
1-013,,How many hectares of short vegetation does Alto Rio Negro Indigenous Territory have?,Global land cover,direct,Straightforward query targeting one area or dataset,Landmark,,,landmark,1,Global land cover,,2024,2024,short vegetation,,,,,"7,370.38",,,,
1-014,,"Which had more cropland area in 2024, Nigeria or Ghana?",Global land cover,comparative direct,Compares two named areas,gadm 0,NGA;GHA,country,gadm,1,Global land cover,,2024,2024,cropland,,,,"924,000 km²",Nigeria,,,,
1-015,,"True or False, the largest land cover transition between 2015 and 2024 in California was short vegetation to built-up.",Global land cover,temporal comparison,Refers to specific years or date ranges,gadm 1,USA.5_1,state-province,gadm,1,Global land cover,,2015,2024,,,,,,FALSE,,,,
1-016,,Which Welsh county had the most short vegetation in 2024?,Global land cover,parent child grouping,Groups child areas in a larger one,gadm 1,GBR.4_1,district,gadm,1,Global land cover,,2024,2024,short vegetation,,,"53,498 hectares",,Powys,,,,
1-017,,"In Purbalingga, Indonesia what was the largest single land cover transition from 2015 to 2024?",Global land cover,class comparison,Compares classes of data in a given location,gadm 2,IDN.10.24_1,district,gadm,1,Global land cover,,2015,2024,,,,,,tree cover to built-up (8368.74 ha),,,,
1-018,,How much natural grassland is there in the Bulgan Tal key biodiversity area in 2019?,Natural/Semi-Natural Grasslands,direct,Straightforward query targeting one area or dataset,kba,,,kba,2,Natural/Semi-Natural Grasslands,,2019,2019,,,,,,18494.8 ha,,,,
1-019,,"Yes or no: did natural grasslands increase from 2017 to 2022 in Hwange national park, botswana?",Natural/Semi-Natural Grasslands,temporal,Refers to specific years or date ranges,wdpa,,,wdpa,2,Natural/Semi-Natural Grasslands,,2017,2022,,,,,,no,,,,
1-020,,Which year had the most natural grassland in the Blackfeet Indian reservation in Montana USA: 2015 or 2000?,Natural/Semi-Natural Grasslands,,,Landmark,,,landmark,2,Natural/Semi-Natural Grasslands,,2000,2015,,,,,,2015,,,,
1-021,,Which country in the UK has the least natural grassland in 2022?,Natural/Semi-Natural Grasslands,comparative parent child,Compares sub-areas within a larger one,gadm 0,GBR,state-province,gadm,2,Natural/Semi-Natural Grasslands,,2022,2022,,,,,,,,,,
1-022,,Which communidad in Spain had the least grassland in 2022?,Natural/Semi-Natural Grasslands,comparative parent child,Compares sub-areas within a larger one,gadm 0,ESP,state-province,gadm,2,Natural/Semi-Natural Grasslands,,2022,2022,,,,,,Ceuta y Melilla,,,,
1-023,,In which year between 2001 and 2022 did Bolivia have the least natural grasssland coverage?,Natural/Semi-Natural Grasslands,temporal,Select year,gadm 0,BOL,country,gadm,2,Natural/Semi-Natural Grasslands,,2001,2022,,,,15.99 million hectares,,2013,,,,
1-024,,Which had more natural grassland coverage in 2000: North or South Dakota?,Natural/Semi-Natural Grasslands,comparative direct,Compares two named areas,gadm 1,USA.35_1;USA.42_1,state-province,gadm,2,Natural/Semi-Natural Grasslands,,2000,2000,,,,,,South Dakota,,,,
1-025,,"which county in the state of Salto, Uruguay had the least natural grassland in 2001?",Natural/Semi-Natural Grasslands,comparative direct,Compares two named areas,gadm 1,URY.15_1,district,gadm,2,Natural/Semi-Natural Grasslands,,2001,2001,,,,,,San Antonio,,,,
1-026,,True or False: Pocho in Cordoba (ARG) gained natural grasslands from 2020 to 2021,Natural/Semi-Natural Grasslands,temporal,Refers to specific years or date ranges,gadm 2,ARG.6.11_1,district,gadm,2,Natural/Semi-Natural Grasslands,,2020,2021,,,,"51,966","53,549.40",TRUE,,,,
1-027,,Whats the second largest natural land class in the Plaine du Villefagnan key biodiversity area in FRA?,SBTN Natural Lands Map,class comparison, and ,kba,,,kba,3,SBTN Natural Lands Map,,,,,,,,,natural short vegetation,,,,
1-028,,"In the Murgia Alta WDPA in Italy, how much natural short vegetation is there?",SBTN Natural Lands Map,direct,Straightforward query targeting one area or dataset,wdpa,,,wdpa,3,SBTN Natural Lands Map,,,,natural short vegetation,,,,,679.17 ha,,,,
1-029,,True or false: less than 5% of land in the Kurtjar People territory in Australia is non-natural?,SBTN Natural Lands Map,,,Landmark,,,Landmark,3,SBTN Natural Lands Map,,,,,,,,,TRUE,,,,
1-030,,Which state in Indonesia has the most natural peat forest?,SBTN Natural Lands Map,comparative parent child,Compares sub-areas within a larger one,gadm 0,IDN,state-province,gadm,3,SBTN Natural Lands Map,,,,natural peat forest,,,5.12 million hectares,,Papua,,,,
1-031,,Which state has the most mangroves in Senegal: Fatick or Ziguinchor?,SBTN Natural Lands Map,comparative direct,Compares two named areas,gadm 1,SEN.3_1;SEN.14_1,state-province,gadm,3,SBTN Natural Lands Map,,,,mangroves,,,"78,924 hectares",,Ziguinchor,,,,
1-032,,"Whats the second largest natural land class by area in Cogo, Eq. Guinea?",SBTN Natural Lands Map,class comparison,Compares classes of data in a given location,gadm 2,GNQ.6.3_1,district,gadm,3,SBTN Natural Lands Map,,,,,,,"15,444 hectares",,mangroves,,,,
1-033,,"True or false, tree cover loss has increased from 2020 to 2024 in the Upper Stung Sen catchment KBA.",Tree cover loss,temporal,Refers to specific years or date ranges,kba,,,kba,4,Tree cover loss,,2020,2024,,,,"8,411 hectares","5,051 hectares",FALSE,,,,
1-034,,How much tree cover loss was there in the Corona Forestal protected area in Tenerife in 2023?,Tree cover loss,direct,Straightforward query targeting one area or dataset,wdpa,,,wdpa,4,Tree cover loss,,2023,2023,,,,"1,436.02 hectares",,"1,436.02 hectares",,,,
1-035,,"In total, how much tree cover loss was recorded in Champoton community land in Mexico, between 2001 and 2024",Tree cover loss,direct,Straightforward query targeting one area or dataset,Landmark,,,Landmark,4,Tree cover loss,,2001,2024,,,,"32,593 hectares",,"32,593 hectares",,,,
1-036,,Which state in belgium had the least deforestation from 2005 to 2015?,Tree cover loss,comparative parent child,Compares sub-areas within a larger one,gadm 0,BEL,state-province,gadm,4,Tree cover loss,,2005,2015,,,,42 hectares,,Bruxelles (Brussels),,,,
1-037,,In which year between 2001 and 2024 did Gabon have the most tree cover loss?,Tree cover loss,temporal,Select date,gadm 0,GAB,country,gadm,4,Tree cover loss,,2001,2024,,,,"48,751.7 hectares",,2014,,,,
1-038,,Of the Canadian provinces+territories beginning with 'N' - which had the most deforestation in 2004?,Tree cover loss,comparative direct,Compares two named areas,gadm 1,CAN,state-province,gadm,4,Tree cover loss,,2004,2004,,,,,,,,,,
1-039,,What was the sum total of tree cover loss in Manitoba in 2004 and that in Alberta in 2024?,Tree cover loss,comparative direct,Compares two named areas,gadm 1,CAN.3_1;CAN.1_1,state-province,gadm,4,Tree cover loss,,,,,,,"241,622 hectares","1,002,190 hectares"," 1,243,812 hectares",,,,
1-040,,Which location in England had the most tree cover loss from 2001 to 2024: Sheffield or Wakefield?,Tree cover loss,comparative direct,Compares two named areas,gadm 2,GBR.1.83_1;GBR.1.105_1,district,gadm,4,Tree cover loss,,2001,2024,,,,582.8 hectares,32.1 hectares,Sheffield,,,,
1-041,Not doing,How much carbon was emitted in the North Baikal wetlands KBA in 2024?,Forest GHG emissions,temporal,Refers to specific years or date ranges,kba,,,kba,,Forest GHG emissions,,,,,,,,,,,,,
1-042,Not doing,Which year had the most carbon emissions due to tree cover loss in Sebangau National Park between 2002 and 2008?,Forest GHG emissions,direct,Straightforward query targeting one area or dataset,wdpa,,,wdpa,,Forest GHG emissions,,2002,2008,,,,"65,806",,2007,,,,
1-043,Not doing,"What was the total carbon emissions due to deforestation in the Vale do Javari indigenous land, Brazil between 2010 and 2018?",Forest GHG emissions,direct,Straightforward query targeting one area or dataset,Landmark,,,Landmark,,Forest GHG emissions,,,,,,,,,,,,,
1-044,Not doing,Which state of NZ has the highest total deforestation-related carbon emissions in NZ from 2005-2020?,Forest GHG emissions,comparative parent child,Compares sub-areas within a larger one,gadm 0,NZL,state-province,gadm,,Forest GHG emissions,,2005,2020,,,,,,Waikato,,,,
1-045,Not doing,In which year between 2001 and 2024 did Indonesia have the lowest emissions due to tree cover loss?,Forest GHG emissions,temporal,select date,gadm 0,IDN,country,gadm,,Forest GHG emissions,,2001,2024,,,,437 million tonnes,,2003,,,,
1-046,Not doing,"True or False: In Rep. of Congo, Bouenza generated more deforestation related carbon emissions than Cuvette in 2021",Forest GHG emissions,comparative direct,Compares two named areas,gadm 1,COG.1_1;COG.3_1,state-province,gadm,,Forest GHG emissions,,2021,2021,,,,,,FALSE,,,,
1-047,Not doing,"How many tonnes of CO2 was emitted in Ihorombe, Madagascar in 2019 due to tree cover loss?",Forest GHG emissions,direct,Straightforward query targeting one area or dataset,gadm 2,MDG.3.4_1,district,gadm,,Forest GHG emissions,,,,,,,,,"649,713 tonnes ",,,,
1-048,,How much tree cover was gained between 2000 and 2020 in the Rio Capim KBA?,tree cover gain,direct,Straightforward query targeting one area or dataset,kba,,,kba,5,tree cover gain,,2000,2020,,,,,,"26,373.28 hectares",,,,
1-049,,"True or false: in Alto Rio Guama, more tree cover was gained in the period between 2000-2010 than 2010-2020 ",tree cover gain,temporal comparison,Refers to specific years or date ranges,wdpa,,,wdpa,5,tree cover gain,,2000,2020,,,,"7,266.24 hectares","1,510.20 hectares",TRUE,,,,
1-050,,"How much tree cover was gained between 2010 and 2015 in the Senanga Reserve, Zambia?",tree cover gain,direct,Straightforward query targeting one area or dataset,Landmark,,,Landmark,5,tree cover gain,,2010,2015,,,,1.41 hectares,,1.41 hectares,,,,
1-051,,Which country gained more tree cover between 2015 and 2020: France or Germany?,tree cover gain,comparative direct,Compares two named areas,gadm 0,DEU;FRA,country,gadm,5,tree cover gain,,2015,2020,,,,,,France,,,,
1-052,,"Which sub region of Galicia (ESP), gained the least tree cover between 2000-2020?",tree cover gain,comparative parent child,Compares sub-areas within a larger one,gadm 1,ESP.12_1,district,gadm,5,tree cover gain,,2000,2020,,,,"9,623.86 hectares",,Pontevedra,,,,
1-053,,"Which 5-year period betwween 2000 and 2020 saw Huelva, Spain gain the most tree cover?",tree cover gain,direct,Straightforward query targeting one area or dataset,gadm 2,ESP.1.5_1,district,gadm,5,tree cover gain,,2000,2020,,,,"6,588.34 hectares",, 2015-2020,,,,
1-054,Not doing,,Forest greenhouse gas net flux,direct,Straightforward query targeting one area or dataset,kba,,,kba,6,Forest greenhouse gas net flux,,,,,,,,,,,,,
1-055,Not doing,,Forest greenhouse gas net flux,direct,Straightforward query targeting one area or dataset,wdpa,,,wdpa,6,Forest greenhouse gas net flux,,,,,,,,,,,,,
1-056,Not doing,,Forest greenhouse gas net flux,direct,Straightforward query targeting one area or dataset,Landmark,,,Landmark,6,Forest greenhouse gas net flux,,,,,,,,,,,,,
1-057,,True or False: the UK has a lower net GHG flux than the Rep. of Ireland (use the latest available data),Forest greenhouse gas net flux,comparative direct,Compares two named areas,gadm 0,GBR;IRL,country,gadm,6,Forest greenhouse gas net flux,,,,,,,-316.98 million Mg CO2e, -58.34 million Mg CO2e,TRUE,,,,
1-058,,"Using the latest available data, determine whether the Canary islands a net source or sink for deforestation related emissions.",Forest greenhouse gas net flux,direct,Straightforward query targeting one area or dataset,gadm 1,ESP.14_1,state-province,gadm,6,Forest greenhouse gas net flux,,,,,,,-2.65 million Mg CO2e,,Sink,,,,
1-059,,"Using the latest available data, what was the net greenhouse gas flux for Las Palmas, Canarias (ESP)?",Forest greenhouse gas net flux,direct,Straightforward query targeting one area or dataset,gadm 2,ESP.14.1_1,district,gadm,6,Forest greenhouse gas net flux,,,,,,,"-276,638 Mg CO2e",,"-276,638 Mg CO2e",,,,
1-060,Not doing,,tree cover,temporal,Refers to specific years or date ranges,kba,,,kba,7,tree cover,,,,,,,,,,,,,
1-061,Not doing,,tree cover,direct,Straightforward query targeting one area or dataset,wdpa,,,wdpa,7,tree cover,,,,,,,,,,,,,
1-062,Not doing,,tree cover,,,Landmark,,,Landmark,7,tree cover,,,,,,,,,,,,,
1-063,,Which norwegian state had the most tree cover in 2010?,tree cover,comparative parent child,Compares sub-areas within a larger one,gadm 0,NOR,state-province,gadm,7,tree cover,,2010,2010,,,,1.43 million hectares,,Hedmark,,,,
1-064,,"In 2000, which state had the most tree cover between Oregon and Washington?",tree cover,comparative direct,Compares two named areas,gadm 1,,state-province,gadm,7,tree cover,,2000,2000,,,,9.72 million hectares,,Oregon,,,,
1-065,,"In 2000, how much tree cover did Dja et Lobo Cameroon have?",tree cover,direct,Straightforward query targeting one area or dataset,gadm 2,CMR.10.1_1,district,gadm,7,tree cover,,2000,2000,,,,,,,,,,
1-066,Not doing,,Tree cover loss by dominant driver,temporal,Refers to specific years or date ranges,kba,,,kba,8,Tree cover loss by dominant driver,,,,,,,,,,,,,
1-067,Not doing,,Tree cover loss by dominant driver,direct,Straightforward query targeting one area or dataset,wdpa,,,wdpa,8,Tree cover loss by dominant driver,,,,,,,,,,,,,
1-068,Not doing,,Tree cover loss by dominant driver,,,Landmark,,,Landmark,8,Tree cover loss by dominant driver,,,,,,,,,,,,,
1-069,,Which state of brazil has lost the most tree cover due to permanent agriculture. Use the latest available data.,Tree cover loss by dominant driver,comparative parent child,Compares sub-areas within a larger one,gadm 0,BRA,state-province,gadm,8,Tree cover loss by dominant driver,,,,,,,3.05 million hectares,,Para,,,,
1-070,,Which state in australia lost the most forest due to settlements and infra? Use the latest available data.,Tree cover loss by dominant driver,comparative parent child,Compares sub-areas within a larger one,gadm 0,AUS,state-province,gadm,8,Tree cover loss by dominant driver,,,,,,,,"3,643 hectares", New South Wales,,,,
1-071,,Which US state lost more forest due to wildfires? Washington or Oregon? Use the latest available data,Tree cover loss by dominant driver,comparative direct,Compares two named areas,gadm 1,,state-province,gadm,8,Tree cover loss by dominant driver,,,,,,,"62,509 hectares","143,655 hectares",Oregon,,,,
1-072,,"True or False: Logging causes more more tree cover loss than Wildfire in Aveiro, Portugal?  Use the latest available data",Tree cover loss by dominant driver,class comparison,Compares classes of data in a given location,gadm 1,PRT.1_1,state-province,gadm,8,Tree cover loss by dominant driver,,,,,,,,,TRUE,,,,
1-073,,"What is the largest driver of deforestation in Nannup, Western Australia. Use the latest available data,",Tree cover loss by dominant driver,class comparison,Compares classes of data in a given location,gadm 2,AUS.11.90_1,district,gadm,8,Tree cover loss by dominant driver,,,,,,,,"32,711.6 hectares",wildfire,,,,
1-074,,What's the resolution of the tree cover loss data?,Metadata,resolution,,,,,,4,Tree cover loss,,,,,,,,,,resolution is 30 x 30 meters,,,
1-075,,What's the geographic coverage of the tree cover loss data?,Metadata,coverage,,,,,,4,Tree cover loss,,,,,,,,,,global coverage,,,
1-076,,Tell me about the methodology used to produce the Tree cover loss by dominant driver dataset - how should I use this data? Are they any details I should be aware of?,Metadata,methodology,,,,,,8,Tree cover loss by dominant driver,,,,,,,,,,"The Tree cover loss by dominant driver dataset classifies forest loss into five categories: commodity-driven deforestation, shifting agriculture, forestry, wildfire, and urbanization. It is based on Hansen et al. (2013) 30-meter resolution data. Users should note that the dominant driver classification is assigned per 10x10 km grid cell and may not reflect all local drivers. Data is available globally for 2001 onwards.",,,
1-077,,How can I cite the Tree cover loss by dominant driver dataset in my research?,Metadata,citations,,,,,,8,Tree cover loss by dominant driver,,,,,,,,,,"Hansen et al., 2013. ""High-Resolution Global Maps of 21st-Century Forest Cover Change.""
",,,
